C:\Users\Roman\Desktop\РНФ по разработке Цитометра\SPI_2019\SFM_Danil_autofluorescence\L929\Live\200mW_L929_live(95%)_autofluorescence_1.daf
single_cells

Object Number	Intensity_MC_Ch02
332	17401,7499999994
333	21440,6538461536
334	14965,150390625
335	11441,6336206899
336	22473,4615384618
337	17179,4759615382
338	24873,4375
339	28225,6130952399
340	48050,249999997
341	55371,7681159428
342	15771,3365384614
343	17143,6458333338
344	13825,5397727271
345	20893,0500000001
346	10576,7500000002
347	32118,4519230778
348	18354,0923076926
350	27520,072916666
351	10084,2763157897
352	34541,8307692309
353	34484,7249999998
354	28057,0816326534
356	17864,392857143
357	65993,8279220745
358	35140,3050847447
359	21038,0528846159
360	19849,3235294113
361	22108,4791666672
362	22457,6357758619
363	16969,409090909
364	26559,7916666676
365	32298,4136029414
366	38278,9758064506
367	28007,1249999992
368	14060,5915178574
369	16495,814903846
370	13562,4602272729
371	81321,2426470619
372	27506,7462686572
373	25810,0020833331
374	34685,9583333328
375	16814,9496268653
376	64713,1874999993
377	37284,017045455
378	45309,812500002
379	21079,0975609761
380	45328,7499999983
382	56434,6983333331
383	16764,5817307693
384	12419,6193181816
385	18125,6923076918
386	38544,4833333321
387	29863,7500000008
388	21472,5265151511
389	56837,507692307
390	59981,21875
391	37810,5
392	24532,3333333331
393	12665,0360576927
394	19826,5416666663
395	21116,6000000007
396	17761,7941176467
397	50032,5769230764
398	14364,321691177
399	19144,2563559316
400	19696,3442307698
401	11892,8333333335
402	13613,8783783784
403	24327,2734375
404	44585,7517605624
405	25924,016949153
406	33326,0454545455
407	36025,6287313455
408	15108,1538461541
409	20632,1173076925
410	15685,5215517238
411	23469,7708333339
412	37760,5932835812
414	29866,8432203402
415	19964,3686440681
416	29953,5
417	23441,5429104473
418	10238,5657894733
419	13208,6125000003
420	21408,8240740742
421	23201,8990384612
422	34699,9094827589
423	82614,8836206933
424	28728,7499999994
425	48987,72083333
426	21479,5625
427	30641,1298076916
428	16462,8035714289
429	9325,52403846182
430	16323,5384615387
432	20719,9827586213
433	44731,640625
434	24188,1538461535
435	32127,8469827585
436	11341,6733870964
438	11181,0769230767
439	22304,1057692301
440	17084,0461538455
441	26921,0673076936
442	40986,17979452
443	21504,5131578952
444	37402,9734375026
445	27288,186567163
446	18943,4385593224
447	33574,9346153855
448	20388,1562499997
449	14676,4495614031
450	24002,4791666661
451	12282,9999999999
452	14396,9267241375
453	19309,9249999997
454	32699,3697916668
455	26691,3815789483
456	25939,4375000009
457	39195,625
458	22747,9868421057
459	111815,499999999
460	34072,69921875
461	34012,375
462	25448,0499999997
463	49711,7297794135
464	31903,4237288128
465	47823,0951492575
466	16126,4375000002
467	51886,1818181826
468	11915,1634615388
469	27896,9500000008
470	15101,7328431376
471	19740,8220338982
472	23890,4399038453
473	23122,65625
474	14458,1298076925
475	35750,7910447775
477	19766,3149038458
478	38066,9951923066
479	29399,3562499991
480	30732,5113636374
481	24802,8593750002
482	14946,3072033901
483	15119,8846153847
484	17768,6370967748
485	13503,6779661021
486	14715,6363636361
487	31559,4812499988
488	32973,9645522404
489	16341,3653846157
490	12165,375
491	22328,4008620693
492	12473,785087719
493	20492,9094827584
494	29005,3529411777
495	34419,5909090914
496	10039,646186441
497	14376,9390243907
498	30592,0625
500	26451,049999999
501	40698,3470149256
502	41521,9182692316
503	23849,545454546
504	18912,5288461535
505	33627,6923076925
506	20424,0250000005
507	58323,2812499966
508	14083,6249999997
509	26888,5104166684
511	21570,612500001
512	32670,481617646
513	27808,5942029002
514	10434,7613636362
515	46919,1875
516	21371,1176470592
517	11413,451754386
518	20191,6136363641
520	30462,796875
521	57017,3958333323
522	20852,484615384
523	34676,5208333337
524	18388,838942308
525	26513,7581967217
526	18277,8303571429
527	9209,82758620724
528	18459,6315789474
529	25736,8370535708
530	21728,0219298248
531	26451,232758621
532	44901,8496621596
533	17675,7458333341
534	21425,7982456138
