C:\Users\Roman\Desktop\РНФ по разработке Цитометра\SPI_2019\SFM_Danil_autofluorescence\C2C12\Live\200mW_C2C12_live_autofluorescence_1.daf
single_cells

Object Number	Intensity_MC_Ch02
334	5157,56730769237
335	23781,2187500002
336	79824,9044117619
337	47782,3620689665
338	102803,134328361
339	39448,6138392863
340	111389,486486483
341	56375,6488095263
342	46332,7884615391
343	62024,4000000023
344	36801,2584745763
345	47588,3886363664
346	42323,0816326515
347	120616,529411772
348	61722,3291666681
349	100400,311538464
350	38220,4754098349
351	40917,4576271201
352	47426,4769230758
353	295212,850000004
354	65901,3620689641
355	95216,388888886
356	160941,350000002
357	102367,589552246
358	102594,27272727
359	151134,625
360	38475,4131944449
361	27570,1420454543
362	65943,5969827623
363	131784,359375
364	28835,2357954543
365	23409,6224489794
366	86493,3823529435
367	112003,844230772
368	111887,3203125
369	48129,6875
370	140009,283582089
371	134902,714285715
372	72167,0769230762
373	21926,3522727271
374	94342,7333333338
375	135412,854651161
378	50900,9186046503
379	178148,13059702
380	71167,9124999987
381	165722,211538466
382	34150,2669491529
383	85523,3135593247
384	70197,004237289
386	122221,557835826
387	179810,013554213
388	66026,75
389	109776,267241382
390	79947,5263157905
391	53499,3990384596
392	33852,9387254908
393	73563,7636986293
394	40876,410714285
395	123075,358333331
396	30123,0769230772
397	14741,0718085108
398	94352,7669491549
399	319297,973958328
400	44006,884803921
401	103475,818181816
402	4368,53693181814
403	5412,21527777783
404	99893,621212122
405	42826,1452205871
406	18143,5999999999
407	8610,67500000011
408	71063,9015625018
409	210283,897058831
410	51973,6000000014
411	107423,446428577
412	83838,1190476154
413	62344,6866438353
414	17230,7045454545
415	43606,2500000032
416	108913,139705887
417	63210,7500000017
418	284920,432098774
420	54861,8323863642
421	13643,7727272723
422	44994,9427609415
423	89592,1514084487
424	82817,2459016378
425	40784,3749999998
426	117986,354166668
427	319645,133116868
428	79927,1973684239
429	32098,8640350872
430	53525,599609375
431	198267,991666663
432	169294,658783789
433	9740,91477272713
434	5640,22159090903
435	10506,7272727273
436	207255,09375
437	27433,9615384609
438	86055,7916666642
439	72000,5170454562
440	159194,212171063
441	138849,09090909
442	73673,2045454509
443	52544,588235295
444	37630,7187499994
445	229296,222972955
446	233623,628676479
447	49069,6484375
448	101960,125
449	63973,31640625
450	100298,545454544
451	81027,5
452	101480,724999996
453	113474,699999996
454	114813,463028165
455	109764,136904758
456	80334,4583333314
457	27055,0353260873
458	105950,050632915
459	111999,350000001
460	319082,615808816
461	203144,962837846
462	78806,0057692291
463	30867,067307693
464	102860,08333333
465	28462,8083333321
466	75754,8749999986
467	32969,6211538461
468	217177,84375
469	98811,599999998
470	167178,758771927
471	244480,827702711
473	66280,15625
474	158604,899999997
475	100489,168749996
476	120840,88815791
478	4251,91071428576
479	62534,0909090892
480	108502,576086959
481	52183,0592105268
482	2964,88461538459
483	139082,268581074
484	147194,078703705
485	152706,57758621
486	21500,3724999997
487	79241,1171875
489	174266,41666666
490	140318,380952384
491	53482,3557692299
493	54968,0416666675
494	2242,43750000002
495	62332,507142859
496	121789,115384617
497	63596,712890625
498	131754,750000002
499	115497,98507463
500	48028,9512711878
501	76411,7840909104
502	221584,062499991
503	244170,391447361
504	10303,7083333331
505	39954,7192307685
506	77767,7479508175
507	92625,8923076889
508	148346,100000006
509	74847,9062499992
510	146113,318181813
511	43271,4062499981
512	78263,125
513	115209,271428568
514	61722,5926724146
515	111511,5
516	30749,1177884624
517	12613,6083333335
518	97792,6470588165
519	4917,58536585356
520	70390,5230769243
521	35891,4900793637
522	13841,8249999997
523	107388
524	19364,5
525	100556,75
526	55857,0982142879
527	35207,0969387753
528	108093,000000003
529	101050,772727275
530	25679,4543269226
531	120507,719999998
532	28199,7338709688
533	14643,5216346151
534	174321,91544118
535	73882,4900793663
536	38287,0487288144
537	39460,0240384621
538	75706,1778846174
539	23031,0459183675
540	11079,2884615382
541	59890,21484375
542	103082,291666668
543	21673,9787234046
544	13156,3863636361
545	69104,1149999969
546	43610,8235294095
549	76060,3571428555
550	44799,0656779665
551	12476,4999999997
552	47395,2740384629
553	200246,849264714
554	63664,7230769261
555	95589,898351651
556	237743,530821932
557	26969,8581730775
558	80870,9076923056
559	49272,2586206885
560	120853,245098041
561	45352,3341346147
562	33504,4000000009
564	144454,7405303
565	176964,134191168
566	78229,6944444421
567	84203,5535714289
568	17838,9136904764
569	73117,7379807682
570	5132,22093023249
571	112849,440217393
572	47735,1194029872
573	128048,13786765
574	76146,0783582084
575	10105,5384615382
576	96091,9330357128
577	86431,4722222205
578	169715,576923087
579	39605,7692307683
580	68333,1059322044
581	2633,29807692317
582	91036,2806122436
583	50738,8601694911
584	97622,4041095838
585	61167,6819852921
586	48315,3749999984
587	157410,64788733
588	92443,200000002
589	61471,94921875
590	113263,877192978
591	108229,768750003
592	48468,7727272741
593	94141,7640845033
594	47638,4014423072
595	144954,071428571
596	24726,6789772723
597	7949,90384615401
598	168355,223958323
599	42986,1761363631
601	118994,130136989
602	276815,309701488
603	257005,515000005
604	137557,178571426
605	40535,1059322043
606	82810,8437500029
607	29746,7019230777
608	6654,11111111123
609	18353,2697368419
610	59476,6833333323
611	125178,077898553
612	70094,6361607134
613	82963,9195205507
614	14162,0408163268
616	214915,537698421
617	69346,4447115378
618	86331,0588235277
619	6998,4245283018
620	61703,5749999982
621	51147,6746323515
622	142508,106250004
623	46335,53125
624	37824,9393939383
625	30005,875
626	5446,07954545455
627	149011,564144741
628	92871,388059703
629	66999,8214285729
630	250271,281249983
631	6821,48491379324
632	61947,34509804
633	90045,4574468071
634	6206,27840909085
635	87268,6066176485
636	95212,1973684199
637	18800,3850000003
638	72390,7916666672
639	81379,64453125
640	83269,15234375
641	17049,625
642	62937,3208333328
643	21660,5849999997
645	65640,3076923084
646	49924,5437499985
647	82384,1732456158
648	135858,875000005
649	71188,4761904789
650	99389,1730769193
651	77421,015350878
652	106407,780405403
653	115854,475961541
654	44912,7403846144
655	118091,287499996
656	164780,95192308
657	61049,59375
658	129298,810763881
659	226315,310000012
660	203479,14423076
661	50999,0144230763
662	59403,3647540973
663	206627,119402977
664	167827,125
666	44244,6141304339
667	45955,4374999988
668	68681,44736842
669	55297,0113636382
670	17121,39
671	78393,1249999975
672	5556,12202380945
673	48593,9999999986
674	91578,0961538436
675	144506,968333333
676	70621,1610576898
677	147873,932692313
678	23618,1818181813
679	77193,0192307679
680	96951,4142857108
