C:\Users\Roman\Desktop\РНФ по разработке Цитометра\SPI_2019\SFM_Danil_autofluorescence\RAW\Live\200mW_RAW_live_autofluorescence_1.daf
single_cells

Object Number	Intensity_MC_Ch02
339	11631,2604166669
340	23515,7950000006
341	27953,7982456135
342	396,319999999991
343	587,132500000016
344	9992,07692307677
345	34400,3157894725
346	20555,8695652177
347	20564,9668367351
348	53978,7899305534
349	449,522727272742
350	20305,5124999997
351	25812,3749999994
352	41563,9599056599
353	32559,8352272718
354	18135,3666666669
355	12055,5275000003
356	15286,7331730773
357	3083,71078431382
358	12515,1296296302
359	20055,5
360	45746,3571428577
361	21389,500000001
362	23284,1999999996
363	25483,4538461549
364	26008,5348837214
365	36604,615384615
366	60650,1111111134
367	17570,6249999999
368	18531,4855769227
369	28864,9959677415
371	27116,8358208964
372	21687,1046511624
373	34328,8461538454
374	27518,7697368422
375	27468,875
376	13409,6778846152
377	20402,3578431363
378	10892,9656862746
379	31290,4204545439
380	14545,8135593223
381	39807,2828947376
382	14349,7000000004
383	27413,4615384609
384	59228,500000001
385	21276,9409090915
386	21808,9583333335
388	22922,7978723408
389	13824,7413793103
390	14258,7692307696
391	1336,10763888891
392	20003,90625
393	15517,1567796618
394	8097,48245614043
395	28189,1875
396	19178,4038461539
397	18564,59375
398	1245,8068181818
399	11770,9150943398
400	32674,2500000012
402	14446,5625000003
403	19968,9975961541
404	15946,861842105
405	24339,9471153838
406	11174,5127118641
408	17224,4423076925
410	51983,530737703
411	30038,4661016952
412	16645,1616379312
413	14860,1509433965
414	23973,0741525429
415	22133,7346491224
416	22048,969827587
417	29611,6418269237
418	14816,0982142855
419	44508,8173076925
420	21190,8634615389
422	14934,2568181816
423	21362,4249999995
424	70131,0723684208
425	10184,4094827588
426	17994,59375
427	25679,3725961542
428	35566,7307692305
429	30004,4199999991
430	12934,5263157899
431	14408,4999999997
432	119065,484589045
433	11102,0943396227
434	25948,2403846156
436	74937,4374999997
437	19987,8095238093
439	28016,7019230777
440	20664,2127659569
441	45772,1313559308
442	49399,96875
443	23844,3625000006
444	20229,0312499991
445	44541,131355933
446	18264,1166666669
447	6352,4772727271
448	117458,703703708
449	43870,9634615408
450	18979,1122448974
451	11871,0504807689
452	29111,6452205891
453	29852,6634615389
454	24862,0729166676
455	1479,00480769229
456	1894,02272727273
457	28347,3103448274
458	46019,75201613
459	48209,2812499982
460	14513,9735576925
461	16831,470338983
462	811,625
463	14054,2599999999
464	14583,6136363632
465	40313,7132352955
466	24643,1057692314
467	52537,4677419336
468	17184,8092105267
469	3461,90243902446
470	9416,91911764721
471	12140,002314815
472	22896,0673076917
473	44129,9375000016
474	30137,887931035
475	25348,0701754392
476	10718,1704545454
477	18204,329268293
478	28052,6923076918
479	22417,6891891896
480	56671,8576388863
481	16359,8011363639
482	44051,9079861089
483	46034,922077923
484	8917,5
485	22414,8812499996
486	50294,0405405387
487	10763,083333333
488	31026,9730769233
489	70450,3943965514
490	13008,7142857141
491	8762,58522727284
492	115967,592592588
493	17858,0482954544
494	20856,65625
495	56658,4227528079
496	47489,971590908
497	10406,2716346155
498	17981,6057692308
499	38896,2408088217
501	32970,7954545466
502	25673,0000000006
503	29869,4000000009
504	12990,391393443
505	32613,0850694434
506	14808,9072580647
507	27408,0384615388
508	21031,0749999995
509	40812,5597014929
510	20332,3400000003
511	17472,034722222
512	2028,96938775506
513	24656,2631578951
514	49947,1384615369
515	29390,3898305076
516	15154,8430232561
517	15434,223484849
518	18147,8792372877
519	24638,8134328362
520	29163,0202205892
522	32685,4224137927
523	17554,8829365073
524	43746,6105769223
525	25042,2723880591
526	40530,3774038449
527	33843,9491525428
528	15077,9784482761
529	61963,3026315797
530	30299
531	15793,2499999996
532	16982,2925531918
533	16463,5084745763
534	24326,432692308
535	31344,0454545445
536	8467,33333333326
537	21555,5250000006
538	22715
539	9824,21933962276
540	17371,4302884614
541	23391,6144067791
542	10424,8464912278
543	103025,92307693
544	17100,0480769236
545	25795,5227272725
546	14958,2611940294
547	19444,9722222221
548	27897,0961538469
549	41708,5549242435
550	29252,7500000012
551	18313,75
552	59564,2365384627
553	22405,5909090899
554	16972,7836538462
555	12706,7880434779
556	17564,3387096779
557	23389,5681818175
558	10127,0909090906
559	24674,7848837214
560	5887,14194915271
561	36034,779296875
562	18755,3605769233
563	21336,6619318178
564	16636,5937500002
565	11523,3124999998
566	18364,0338983045
567	18261,6328125
568	19404,6187499997
569	1236,04166666665
570	49633,1854838687
571	33181,2272727285
572	18203
573	25655,6960227278
574	11441,6041666664
575	70980,0480769288
576	33391,9687499995
577	17603,3921568624
578	34718,0110294132
579	11443,0021186442
580	1018,71306818181
581	35919,038461539
582	41799,6447368438
583	19460,8809523808
584	15661,6286764702
585	23151,6940298512
586	1181,72727272726
587	43882,8658088222
588	28027,9999999993
589	22506,54296875
590	24348,1307692296
591	33911,1513157906
592	28599,8307692313
593	12686,6850000003
595	44034,4166666672
596	23949,2586206911
597	21141,3629807689
598	22296,5000000003
600	21464,5124999998
601	28660,5889423074
604	35791,8857142871
605	85220,4423076903
606	26262,7095070431
607	17779,0166666665
608	28317,7245762721
609	19368,5659090907
610	27186,74609375
611	3086,0625
612	17946,6749999998
613	21276,6050000005
614	40231,9444444449
615	23320,5076923066
616	8423,84500000005
617	36891,0120192313
618	13815,4951923076
619	27083,6315789476
620	17492,7049180331
621	16470,5131578949
622	23124,8076923088
623	28031,717391305
624	21639,5889423067
625	27467,0000000005
626	15160,0562499995
627	146943,06153846
628	7244,56521739138
629	14117,7916666672
630	10357,1122448982
631	44690,0882352927
632	18236,1800847455
633	32517,1209677429
634	26099,7363636373
635	28008,1995192303
636	9104,50000000026
637	16340,1333333338
638	20481,7000000008
639	12143,7954545452
640	11357,7830188681
641	23983,6874999995
642	12866,6101694913
643	30983,4062500006
644	18790,9298245609
645	19427,3075396831
646	16892,1979166668
647	13503,7352941178
648	19499,1951754389
649	14955,1163793102
650	24890,4999999995
651	702,022727272737
652	18637,5
653	21011,4520833332
654	12778,104910714
655	14286,5240384619
656	28248,2288461543
657	20755,5677966098
659	35182,173076922
660	52345,866666666
661	14265,125
662	12558,6896551723
663	1522,80128205126
664	18438,4124999994
665	109021,83529412
666	21397,999999999
667	19411,6843220336
668	82108,4812499973
669	7928,43750000028
670	26030,3427419356
671	14372,1116071427
672	20095,1682692306
673	21101,9850746273
674	31119,5791666658
675	18112,7025000003
676	16011,2499999998
677	47777,0466666691
678	20497,196428571
679	29372,7033898312
680	19051,7781249998
681	404,687500000003
682	31601,0127118648
683	16137,5107142859
684	23274,2500000007
685	32433,0158730158
686	46682,4107142831
687	15705,2451923076
688	22650,4999999998
689	14997,6271929827
690	40713,5087719291
691	14400,5985576919
692	20963,8800000005
693	24919,5143442632
694	14202,0192307697
695	25694,7307692304
696	15354,5360576927
697	39527,9999999993
698	8072,17857142872
699	16712,2764227645
700	3658,63942307699
701	21930,5
702	27668,6226851846
703	12096,375
704	34649,5555555572
705	33214,3137254909
706	18940,8124999998
707	21981,5750000008
708	24575,2211538454
709	19198,0576923082
710	30948,5423728818
711	20530,9375000006
712	15963,8671875
713	9103,27118644059
714	15097,5943396229
715	39625,4583333328
716	17064,1458333333
717	25984,3711538455
718	48903,403846153
719	11519,4000000003
720	27255,4047619056
721	31936,2763157896
722	74763,9868421055
723	629,20923913043
724	15693,502083333
725	29308,8494318175
726	6433,38775510219
727	18556,8189655169
728	12198,0767543861
729	12008,0714285717
730	50325,6315789479
731	45883,6351351345
732	1443,47000000003
733	20775,3529411759
734	62243,2878787875
735	73782,8387096779
736	26918,3297413794
737	50440,0746268633
738	11196,3487903228
740	25402,5535714291
741	988,989999999977
742	1379,0859375
743	21093,0416666663
744	17247,2500000001
745	12743,9607843136
746	81858,5236486453
747	19402,8014705885
748	29810,9263392852
749	37835,5625
750	13570,8217592597
